line_no,service_type,variant,note,from_start_time,to_start_time,headway_minutes
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,18:40,18:43,3
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,18:43,18:55,12
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,18:55,18:55,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,18:55,19:10,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:10,19:10,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:10,19:25,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:25,19:25,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:25,19:40,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:40,19:40,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:40,19:45,5
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:45,19:55,10
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:55,19:55,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,19:55,20:10,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:10,20:10,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:10,20:25,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:25,20:25,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:25,20:40,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:40,20:40,0
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:40,20:55,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,20:55,21:10,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,21:10,21:25,15
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,21:25,21:35,10
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,21:35,21:45,10
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,21:45,21:55,10
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,21:55,22:15,20
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,22:15,22:35,20
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,22:35,22:55,20
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,22:55,23:15,20
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,23:15,23:35,20
12,unknown,ΕΛ.ΜΕ.ΠΑ.,,23:35,23:55,20
12,unknown,ΕΛ.ΜΕ.ΠΑ,,12:05,13:07,62
12,unknown,ΕΛ.ΜΕ.ΠΑ,,13:07,14:10,63
12,unknown,ΕΛ.ΜΕ.ΠΑ,,14:10,16:10,120
12,unknown,ΕΛ.ΜΕ.ΠΑ,,16:10,18:07,117
14,daily,ΒΙ.ΠΕ.Η.,,06:48,07:10,22
14,daily,ΒΙ.ΠΕ.Η.,,07:10,11:20,250
14,daily,ΒΙ.ΠΕ.Η.,,11:20,12:10,50
14,daily,ΒΙ.ΠΕ.Η.,,12:10,14:25,135
14,daily,ΒΙ.ΠΕ.Η.,,14:25,16:20,115
15,daily,ΦΟΙΝΙΚΙΑ / ΜΑΛΑΔΕΣ,,14:13,16:05,112
02,daily,ΚΝΩΣΣΟΣ,,05:50,06:20,30
02,daily,ΚΝΩΣΣΟΣ,,06:20,07:00,40
02,daily,ΚΝΩΣΣΟΣ,,07:00,07:20,20
02,daily,ΚΝΩΣΣΟΣ,,07:20,07:55,35
02,daily,ΚΝΩΣΣΟΣ,,07:55,08:10,15
02,daily,ΚΝΩΣΣΟΣ,,08:10,08:25,15
02,daily,ΚΝΩΣΣΟΣ,,08:25,08:40,15
02,daily,ΚΝΩΣΣΟΣ,,08:40,09:00,20
02,daily,ΚΝΩΣΣΟΣ,,09:00,09:20,20
02,daily,ΚΝΩΣΣΟΣ,,09:20,09:40,20
02,daily,ΚΝΩΣΣΟΣ,,09:40,10:00,20
02,daily,ΚΝΩΣΣΟΣ,,10:00,10:20,20
02,daily,ΚΝΩΣΣΟΣ,,10:20,10:40,20
02,daily,ΚΝΩΣΣΟΣ,,10:40,11:00,20
02,daily,ΚΝΩΣΣΟΣ,,11:00,11:20,20
02,daily,ΚΝΩΣΣΟΣ,,11:20,11:40,20
02,daily,ΚΝΩΣΣΟΣ,,11:40,11:55,15
02,daily,ΚΝΩΣΣΟΣ,,11:55,12:10,15
02,daily,ΚΝΩΣΣΟΣ,,12:10,12:25,15
02,daily,ΚΝΩΣΣΟΣ,,12:25,12:40,15
